,Nombre municipio
974,OCAMONTE
975,SIMACOTA
976,SAN SEBASTIAN
977,NUNCHIA
978,SUTATENZA
979,PACOA (CD)
980,TAMARA
981,BERBEO
982,TUNUNGUA
983,PALMAS SOCORRO
984,PANA PANA (CAMPO ALEGRE) (CD)
985,SURATA
986,JESUS MARIA
987,CHARTA
988,YALI
989,SANTA ISABEL
990,TIBIRITA
991,TUTAZA
992,MAPIRIPANA (CD)
993,SOCOTA
994,GUAYABAL DE SIQUIMA
995,CHAMEZA
996,SORA
997,SAN MIGUEL
998,JERUSALEN
999,CACOTA
1000,LA SALINA
1001,EL CALVARIO
1002,BUSBANZA
1003,PAIME
1004,CRAVO NORTE
1005,GUICAN
1006,MACANAL
1007,SAN JOSE DEL PALMAR
1008,LABRANZAGRANDE
1009,CHINAVITA
1010,SOMONDOCO
1011,MURILLO
1012,CHIVOR
1013,LA PEÑA
1014,SAN MATEO
1015,PISBA
1016,ALMAGUER
1017,RONCESVALLES
1018,TOPAIPI
1019,RONDON
1020,ALMEIDA
1021,SAN EDUARDO
1022,JURADO
1023,CHAGUANI
1024,EL ENCANTO (CD)
1025,BETEITIVA
1026,JORDAN
1027,GUTIERREZ
1028,MEDIO ATRATO
1029,PUERTO COLOMBIA (CD)
1030,VILLAGOMEZ
1031,PAYA
1032,barrancabermeja
1033,Pensilvania
1034,BELEN DE BAJIRA
1035,Anserma
1036,CAMPOHERMOSO
1037,PUERTO ARICA (CD)
1038,LA VICTORIA (CD)
1039,SAN JUANITO
1040,CACAHUAL (CD)
